tweet,likes_count,tweetFiltrado,topico
embarrassing if the #eu will be willing to -de facto - bribe orban into stopping oil and gas from #russia,19,embarrassing eu will de facto  bribe orban stopping oil gas,5
an #apu captured t-72b3 mbt is seen towing a captured t-80b... trophies!  #ukraine #russia #ukrainianwar #ukraineinvasion  https://t.co/6avoqnzqbx,19,apu captured tb mbt towing captured tb trophy ukraine ukrainianwar ukraineinvasion,7
#russia victory day  https://t.co/glm1zvcw8x,19,victory day,0
@melaaku1 @gonzalolira1968 and #apartheid #israel gets to compete while occupying #palestine  while #russia gets banned for invading #ukraine   applause and nazi salutes  bans and fines  https://t.co/k4icnonpmj,19,melaaku gonzalolira apartheid israel compete occupying palestine banned invading ukraine applause nazi salute ban fine,3
russia - ukraine war: the russian occupiers taken prisoner near kharkiv are fed fresh food  #kharkiv #ukraine #ukrainian #ukrainians #ukraina #ucrania #ucraina #россия #україна #أوكرانيا #russia #rusia #russian #russie #russland #россия #روسيا #ukrainewar #standwithukraine  https://t.co/sbiomi66tl,19, ukraine war occupier prisoner kharkiv fed fresh food kharkiv ukraine ukrainian ukrainian ukraina ucrania ucraina россия україна أوكرانيا rusia russie russland россия روسيا ukrainewar standwithukraine,7
"#ukraine lost 80 #bayraktar drones since the start of the operation, not less than $160 million  #russia_ukraine  #ukraine  #russia",19,ukraine lost bayraktar drone start operation  russiaukraine ukraine,0
"""just as #russia has been taking over control of certain territories in ukraine, and making them parts of itself, #turkey has been implementing exactly the same concept in northern #syria."" says political analyst yektan türkyılmaz.   https://t.co/hmrqmd28fx  https://t.co/cbhepgkv9b",19,control territory ukraine making part turkey implementing exactly concept northern syria political analyst yektan türkyılmaz,4
new piece on how #cee has led the way in responding to #russia’s assault on #ukraine with a steely idealism that shows the battle lines for our future politics  #czechia #slovakia #estonia  feat: @kajakallas @eduardheger @p_fiala @janlipavsky &amp; more   https://t.co/rcujitkrut,19,piece cee led responding russia assault ukraine steely idealism battle line future politics czechia slovakia estonia feat kajakallas eduardheger pfiala janlipavsky,6
us army to revamp alaska forces to prepare for arctic conflicts the army views the arctic as a potential battleground with russia and china by dave decamp @decampdave #alaska #arctic #russia #ukraine #nato #china   https://t.co/odzxxc0gv6  https://t.co/xsxmoh9ww2,19,army revamp alaska force prepare arctic conflict army view arctic potential battleground china dave decamp decampdave alaska arctic ukraine nato china,1
this is one way aeroflot (su) is meeting its contractual obligations with its foreign aircraft lessors. #aeroflot #aircraftleasing #russia #russiansanctions #ukrainecrisis   https://t.co/q6gn3zu1vn  https://t.co/656f4xgyca,19,aeroflot su meeting contractual obligation foreign aircraft lessor aeroflot aircraftleasing russiansanctions ukrainecrisis,8
"the last parade in mordor..  parade of rapists, looters and killers  #standwithukraine #russianshameday #russia #russianwarcrimes  https://t.co/1hytgblqem",19,parade mordor parade rapist looter killer standwithukraine russianshameday russianwarcrimes,0
"#russia is the “most direct threat” to the international order, european commission president @vonderleyen said thursday (12 may) in #tokyo . #stoprussia  https://t.co/gawzqttsue",19,direct threat international order european commission president vonderleyen thursday  tokyo  stoprussia,8
"personnel of the joint work of the crews of self-propelled guns ""msta-s"" and mlrs ""grad"" on the positions of the armed forces of #ukraine in the #kharkov region.  #russian #russia #mariupol  https://t.co/ewlzgomkxd",19,personnel joint work crew selfpropelled gun mstas mlrs grad position armed force ukraine kharkov region mariupol,7
"this is a non-issue, we manage just fine without electricity from #russia.  “#finland can cope without russian electricity, now and even next winter, when the consumption will be higher” #energy #electricity ⁦@fingrid_oyj⁩   https://t.co/iutuoevr6j",19,nonissue manage fine electricity finland cope electricity winter consumption will higher energy electricity ⁦fingridoyj⁩,5
this sounds like what #russia does to people who peacefully protest the war against ukraine.  the gop is telling us all - that want an authoritarian government.,19,sound people peacefully protest war ukraine gop telling  authoritarian government,3
victory day parade to take place in russia amid war with ukraine.  (@geeta_mohan / @pawarthenomad/ @abhishekbhalla7)  #itvideo #russia #ukraine #vladimirputin  https://t.co/8lrvc8jkri,19,victory day parade place amid war ukraine geetamohan  pawarthenomad abhishekbhalla itvideo ukraine vladimirputin,0
swedish government says it has decided to apply for nato membership  #sweden #nato #russia #ukraine    https://t.co/euua0cunpy,19,swedish government decided apply nato membership sweden nato ukraine,8
"#russia holds “victory day” parade which is fast deteriorating into defeat day. #putin you’ve seriously underestimated #ukraine’s love for their country, faith, traditional values, ancestral customs &amp; respect for all peoples &amp; cultures. your propaganda is risible &amp; despicable.",19,hold victory day parade fast deteriorating defeat day putin youve seriously underestimated ukraine love country faith traditional value ancestral custom respect people culture propaganda risible despicable,0
"@natasaivanova9 zakharova, highly intelligent and articulate spokeswoman for #russia's government. how many of her hapless usa counterparts have come and gone during her tenure?",19,natasaivanova zakharova highly intelligent articulate spokeswoman russia government hapless usa counterpart tenure,0
"justice for atrocity crimes in #ukraine is pivotal.  to ensure that those responsible for #russia's manifestly illegal war face justice too, govts should establish a special int'l tribunal to prosecute the #crimeofaggression -a leadership crime- that would target #putin &amp; others.",19,justice atrocity crime ukraine pivotal ensure responsible russia manifestly illegal war face justice govts establish special intl tribunal prosecute crimeofaggression leadership crime target putin,3
"it's the 82nd day of #russia's full scale war on #ukraine and still the heroes of #azovstal hold on in #mariupol, but there is sobering news from there this morning.  also, explosions heard in a residential area of #kyiv last night. all the news and analysis in this daily thread:",19,day russia full scale war ukraine hero azovstal hold mariupol sobering news morning explosion heard residential area kyiv night news analysis daily thread,0
"ukrainian propaganda, which has lied about just about everything, has told you that the russians are lying and the western media has trumpeted that uncritically (to support war profits) and you believed them. #ukrainerussiawar #russia #azovstal #azov   https://t.co/hhakkgclzl",19,ukrainian propaganda lied told russian lying western medium trumpeted uncritically support war profit believed ukrainerussiawar azovstal azov,3
1/2 the us based institute for war overnight joined those of us who were pretty confident that #russia had given up on #kharkiv  i believe #ukraine's soldiers will force their way to the russian border within a week in the north-east of the region at least  https://t.co/hd9q3ge1im,19, based institute war overnight joined pretty confident kharkiv ukraine soldier will force border week northeast region,4
"nothing like a good dose of mean-minded, self-harming us/uk/eu #sanctions to get trade booming for #russia &amp; collapsing economies in #europe.  #ukraine is taking all y/our money &amp; recycling it for the rich &amp; dangerous. #russia &amp; #china, try &amp; make things better for their peoples.  https://t.co/asdzqgiffe",19,good dose meanminded selfharming usukeu sanction trade booming collapsing economy europe ukraine money recycling rich dangerous china thing better people,5
"today is may 12, 2022 and there still is no evidence that viruses exist!  #coronavirus #truth #facts #luna #russia #terra #eth #randpaul",19,today  evidence virus exist coronavirus truth fact luna terra eth randpaul,1
"@kajakallas @marinsanna @niinisto aitäh, kiitos ja thank you! a century of physical and mental oppression from #russia is about to come to an end. finland can put #finlandization in the museum it belongs to.",19,kajakallas marinsanna niinisto aitäh kiitos ja century physical mental oppression finland finlandization museum belongs,8
"#finland has officially announced that it will apply to join #nato. sending hello to #russia, which tried to prevent nato expansion  https://t.co/qvnbd8yj16",19,finland officially announced will apply join nato sending hello prevent nato expansion,8
int’l community supports #georgia’s  territorial integrity within its int’lly recognized borders &amp; does not recognize the so-called presidential elections held in the #russia-occupied #tskhinvali region of georgia #stoprussia  https://t.co/ureqqybsnc,19,intl community support georgia territorial integrity intlly recognized border recognize socalled presidential election held russiaoccupied tskhinvali region georgia stoprussia,6
"#russia's been having troubles in the black sea, so more than a few eyebrows raised when the commander of the fleet was missing at yesterday's 239th anniversary celebrations.  officially admiral igor osipov was ""at a combat post"" but wouldn't recommend tea with putin right now.",19,russia trouble black sea eyebrow raised commander fleet missing yesterday anniversary celebration officially admiral igor osipov combat post recommend tea putin,0
battles in #azovstal were filmed by a camera for an #azov fighter #russia_ukraine #ukraine #russia  https://t.co/vdocuqirob,19,battle azovstal filmed camera azov fighter russiaukraine ukraine,3
"i have a wallet for plastics i don't need plastic people in my life  if your friends cut you off because you are telling #truth, they are fake  #ukrainerussiawar the root cause  https://t.co/wiccr4gieb  https://t.co/wanadzc8hw  #biden #racism #blm #abortionrights #ukraine #russia  https://t.co/tuyjad3wk4",19,wallet plastic dont plastic people life friend cut telling truth fake ukrainerussiawar root biden racism blm abortionrights ukraine,3
kremlin: ukraine joining nato will lead to bloc having territorial dispute with #russia  https://t.co/ysh6iuigjv,19,kremlin ukraine joining nato will lead bloc territorial dispute,8
"last week  $spy #dow #nasdaq #russell #bitcoin $luna ""all"" broke 52 week lows.   #gold to #silver #ratio broke 52 week high  #gas &amp; #diesel hits record highs  #russia #ruble becomes world's best performing currency  #elon #twitter deal on hold  #covid lowest levels since pandemic",19,week spy dow nasdaq russell bitcoin luna broke week low gold silver ratio broke week high gas diesel hit record high ruble world best performing currency elon twitter deal hold covid lowest level pandemic,5
the moment of launching the russian high precision #iskander missiles against #ukrainian targets  #ukraine #russia_ukraine #russia  https://t.co/flsguw5jcp,19,moment launching high precision iskander missile ukrainian target ukraine russiaukraine,7
two usaf assets at work near #moldova border #nato #russia #ukraine #ukrainerussiawar   https://t.co/3oqsldodcr,19,usaf asset work moldova border nato ukraine ukrainerussiawar,7
"putin using wheat to hold the developing world to ransom. by employing gangster style tactics in the #blacksea, #russia is putting the lives of millions of people at risk of food shortage. the world food programme (#wfp) usually buys almost half its #wheat from #ukraine.  https://t.co/8vud3eq8ah",19,putin wheat hold developing world ransom employing gangster style tactic blacksea putting life million people risk food shortage world food programme wfp buy half wheat ukraine,5
destroying #ukrainian targets  #russia #russia_ukraine #ukraine  https://t.co/iqye0kbr8o,19,destroying ukrainian target russiaukraine ukraine,7
tremendous work by my brilliant colleague @lindsaysfreeman + @hrcberkeley on charging  #russia's cyber attacks against #ukraine as war crimes. learn more about their submission to the icc + why prosecutors should investigate + prosecute these crimes alongside traditional ones ,19,tremendous work brilliant colleague lindsaysfreeman  hrcberkeley charging russia cyber attack ukraine war crime learn submission icc  prosecutor investigate  prosecute crime alongside traditional,3
"in #ukraine, since 24 february 2022, the #russia|n invaders killed 229 ukrainian children and injured 421.   putin's barbaric war is #genocide.   https://t.co/0zwva2it3r",19,ukraine february  invader killed ukrainian child injured  putin barbaric war genocide,3
a 14-year-old boy is a conscript in the #ukrainian_army. #ukraine #russia #russia_ukraine  https://t.co/j4amobpqzk,19,yearold boy conscript ukrainianarmy ukraine russiaukraine,0
the air defence system tor combat action and downing bayraktar drone  #russia #russia_ukraine #ukraine  https://t.co/mojf2gas1r,19,air defence system tor combat action downing bayraktar drone russiaukraine ukraine,0
"#ukraine: ukrainian forces recently captured a russian mt-lb apc in the #kharkiv region.on the video, it can be noted that ukrainian soldiers removed the pkt machine gun from the vehicle.#ukrainewar, #ukrainerussianwar #ukraineunderattack #russia #kyiv #kiev #ukrainian #ukraina  https://t.co/mfmxzqnl0l",19,ukraine ukrainian force captured mtlb apc kharkiv regionon video ukrainian soldier removed pkt machine gun vehicleukrainewar ukrainerussianwar ukraineunderattack kyiv kiev ukrainian ukraina,7
"military attachés of the #usa and great #britain went to the military victory parade in #moscow,but their every step was followed. and they even actively photographed military equipment #russia #ukraine #russian #ukrainian #ukrainerussianwar #russiaukraine #azovstal #nato  https://t.co/kczqmtioq5",19,military attachés usa great britain military victory parade moscowbut step actively photographed military equipment ukraine ukrainian ukrainerussianwar russiaukraine azovstal nato,0
"kt has photos of cut up bodies, charred bodies+houses w/o content warning. i’m not sharing the tweet, but here’s the telegram link with details in burmese. reprehensible that #china, #russia, #india, #japan and many in #asean are supporting these murderers  https://t.co/yllgmvmrjk",19,kt photo cut body charred bodieshouses wo content warning sharing tweet telegram link detail burmese reprehensible china india japan asean supporting murderer,5
this is what happens when someone waves the #russian flag in tbilisi.  #russiawarcrimes #russia #ukraine   https://t.co/cycxf8orqu,19,wave flag tbilisi russiawarcrimes ukraine,0
video from #ukraine army of #putin regime terrorists equipment getting destroyed #russia  https://t.co/dqqh0w0sde,19,video ukraine army putin regime terrorist equipment destroyed,7
"no traffic jam, #russianarmy kaliber missile's flight will arrive on time at #ukraine nationalist's military base. #russia | #ukraine |  https://t.co/fowslaccuf",19,traffic jam russianarmy kaliber missile flight will arrive time ukraine nationalist military base  ukraine ,7
#night #hunting. #russian special force #snipers pinpoint denazify #ukrainian forces. #russia #ukraine  https://t.co/7a3o7vugvw,19,night hunting special force sniper pinpoint denazify ukrainian force ukraine,4
"increasing military aid, publicized intel sharing reflects ukraine mission creep russia's state duma speaker says the level of support amounts to the us participating directly in the war by dave decamp @decampdave #ukraine #russia #nato   https://t.co/jrwxczqxub  https://t.co/g262fc3icd",19,increasing military aid publicized intel sharing reflects ukraine mission creep russia state duma speaker level support amount participating directly war dave decamp decampdave ukraine nato,1
"the #apu general staff has confirmed that the villages of cherkas'ki tyshky, rus'ki tyshky, rubezhnoye and bayrak in #kharkive oblast have been retaken.  #russia #ukraine #ukrainianwar #ukraineinvasion @osint88  https://t.co/sz22eyh7xk",19,apu general staff confirmed village cherkaski tyshky ruski tyshky rubezhnoye bayrak kharkive oblast retaken ukraine ukrainianwar ukraineinvasion osint,7
some russians already started to celebrate victory day in st petersburg. however when you mix vodka with russian engineering you get images like this... #russia #fail,19,russian started celebrate victory day st petersburg mix vodka engineering image fail,0
"""since the 2014 annexation of crimea, #russia has deployed 19 private military contractors (pmcs), including the wagner group, to african states, trading security for access to resources and access to one of the fastest growing markets in the world.""   https://t.co/gbvmohmetx",19,annexation crimea deployed private military contractor pmcs including wagner group african state trading security access resource access fastest growing market world,1
russia sends military reinforcements the ain issa area in northern #raqqah province.    a number of russian military vehicles in the direction of ain issa after recent escalation between turkish forces and the kurdish militia in the area. #syria #russia #syrianarmy  https://t.co/adeaiknjnc,19,sends military reinforcement ain issa area northern raqqah province number military vehicle direction ain issa escalation turkish force kurdish militia area syria syrianarmy,4
"president zelensky and justin trudeau met the dog "" patron "" who works with the ukrainian army     #ukraine #russia #ukrainewar  https://t.co/jxxdjq7ccg",19,president zelensky justin trudeau met dog  patron  work ukrainian army ukraine ukrainewar,7
"@reuters the #russianfederation has done more to expand nato than #nato ever could have.  regardless of #russia’s internal and external propaganda, it is a defensive alliance looking for prosperity-causing peace, even for #russians.",19,reuters russianfederation expand nato nato russia internal external propaganda defensive alliance prosperitycausing peace russian,8
today is the 76th day of the war in #ukraine.   #russia must stop the war! #ukrainerussiawar  #ukrainewarcrimes  #azovstal  #russiaukrainewar  https://t.co/nkpumkuhli,19,today day war ukraine war ukrainerussiawar ukrainewarcrimes azovstal russiaukrainewar,0
 sweden has officially decided to join nato #russia #mostliked  https://t.co/rfgv7uktuq,19,sweden officially decided join nato mostliked,8
"he may be faking it, but he picked the wrong place to hide out."" #putin #russia #nursinghome #dementia #flatulence  https://t.co/pj6vbvbyjb",19,faking picked wrong place hide putin nursinghome dementia flatulence,0
#كلنا_بادرش  stop the forgery and theft of assyrian lands by the kurds in occupied assyria/northern iraq stop the kurdish terrorism and end kurdish occupation of assyria enough is enough   #usa #russia #china #india #middleeast #ethniccleansing #stealing #occupying #humanrights  https://t.co/uo0rilrh8y,19,كلنابادرش forgery theft assyrian land kurd occupied assyrianorthern iraq kurdish terrorism kurdish occupation assyria usa china india middleeast ethniccleansing stealing occupying humanrights,1
#russia #ukraine #war   putin’s troops in kharkiv pushed back by counter-attack - live   https://t.co/6pmt3yhtyq,19,ukraine war putin troop kharkiv pushed counterattack  live,4
"why 9 may victory day is so important for russia  it has become an annual event - the military parade in red square in #moscow and cities across #russia on 9 may, marking victory over nazi #germany in 1945.  https://t.co/okobkyflxt",19,victory day annual event  military parade red square moscow city marking victory nazi germany ,0
"captured russian invaders taken near kharkiv.  this is how russian prisoners are treated in ukraine, food is served to them.   #ukraine #russia #ukrainian #ukrainewar    https://t.co/ky9kpociwm",19,captured invader kharkiv prisoner treated ukraine food served ukraine ukrainian ukrainewar,7
news about two missiles hitting #zatoka bridge in #odessa  #russia #ukraine #russia_ukraine  https://t.co/cutqvyeavs,19,news missile hitting zatoka bridge odessa ukraine russiaukraine,4
"the world health organization said it has delivered 20 all-terrain ambulances, generators, and blood refrigerators to ukraine to help with emergency health care.  the ambulances are said to be capableof operating in ukraine's most damaged and  #russia   https://t.co/a2uh5fltw4  https://t.co/j7ag44hdej",19,world health organization delivered allterrain ambulance generator blood refrigerator ukraine help emergency health care ambulance capableof operating ukraine damaged,3
"""i will say this today and any day….f**k the  #russia-backed, russia-funded  nra!""  — i concur with @ojeda4america   try to separate nra and russia.  you. can. not.   of dates... 1871 nra, national rifle association lobbying group. founded in fairfax, va (nov 17)  https://t.co/g507r6v2xp",19,will today day…fk russiabacked russiafunded nra — concur ojedaamerica separate nra date nra national rifle association lobbying group founded fairfax va nov ,7
"rumor 3: #russia will announce a partial mobilization in order to supplement the #russian troops fighting in the #ukrainerussianwar. this would require a declaration of war as well, but may have less of an impact on the overall ru economy.  https://t.co/b7gimohquu",19,rumor  will partial mobilization order supplement troop fighting ukrainerussianwar require declaration war well impact ru economy,4
#ukraine: polish granatnik rgp-40 40mm revolver grenade launcher in the hands of a ukrainian soldier.poland has donated an unknown number of rgp-40s to ukraine.most of the rgp-40 are used by the ukrainian sof. #ukrainewar #ukraineunderattack #russia #kyiv #kiev #ukraina #poland  https://t.co/8ko4buplgm,19,ukraine polish granatnik rgp mm revolver grenade launcher hand ukrainian soldierpoland donated unknown number rgps ukrainemost rgp ukrainian sof ukrainewar ukraineunderattack kyiv kiev ukraina poland,7
"spring #fires in #siberia #russia near #tyumen, #omsk, #novosibirsk &amp; #bratsk producing moderate to thick #smoke (purple shading) today 13 may, shown by #viirs aerosol detection from #snpp &amp; #noaa20 satellites. @jpssprogram @m_parrington @pierre_markuse @karma_lobsang12  https://t.co/0eyqwpkj0u",19,spring fire siberia tyumen omsk novosibirsk bratsk producing moderate thick smoke purple shading today viirs aerosol detection snpp noaa satellite jpssprogram mparrington pierremarkuse karmalobsang,9
the air defence actions in #luhansk skies  #russia_ukraine #ukraine #russia  https://t.co/dnwt5kjzja,19,air defence action luhansk sky russiaukraine ukraine,0
my guess is that xi held out carrot of #cai to scholz. timing of mtg could not hv bn more tone deaf on europe day--w/ war raging in #ukraine. would love to know what they said to each other about #russia. idea of co-operation keeps me awake at night.,18,guess xi held carrot cai scholz timing mtg hv bn tone deaf europe dayw war raging ukraine love idea cooperation keep awake night,0
#latvia  together with other #eu  member states and like-minded partners condemns #russia’s destructive cyber activities against #ukraine   attacks against commercial entities may constitute spillover impacts and put the security of european citizens at risk.,18,latvia eu member state likeminded partner condemns russia destructive cyber activity ukraine attack commercial entity constitute spillover impact security european citizen risk,1
#moscow mayor stated that he decided to adopt the plant in order to save its employees and to resume the manufacture of vehicles under the soviet-#russian brand moskvitch.  #russia #renault #france  https://t.co/wn039itjqy,18,moscow mayor stated decided adopt plant order save employee resume manufacture vehicle sovietrussian brand moskvitch renault france,0
"#finland wishes to preserve peace on border with #russia, foreign minister says  https://t.co/ixn73rugpw",18,finland wish preserve peace border foreign minister,8
"eighty-two days after #russia launched its invasion of #ukraine, several reports have surfaced suggesting that russian president #vladimirputin is ""seriously ill.""  https://t.co/pwdm4sa2z1",18,eightytwo day launched invasion ukraine report surfaced suggesting president vladimirputin seriously ill,0
"the #japanese government has frozen the assets of #russia's sberbank and alfa bank, reports kyodo news.  #stoprussia  https://t.co/7a46njom8x",18,japanese government frozen asset russia sberbank alfa bank report kyodo news stoprussia,0
"rumor 4: #russia may try to change the narrative. thus far, #russian official have stated that the #ukrainerussianwar is about ne-nazifying #ukraine or protecting #russians. this rhetoric has shifted in recent weeks to describe the war as a conflict b/w ru and western ideals.  https://t.co/pxovjjep2l",18,rumor  change narrative official stated ukrainerussianwar nenazifying ukraine protecting russian rhetoric shifted week describe war conflict bw ru western ideal,7
"@anont0by @deepnetanon @anondragonneb @40ozgorilla @jack27956585 @eyedu_r0w3_anon @emwk6 @enocturnalghost @mastertherion9 @kareemahbm @kamikazejapan5 @orca_waves @rosampl2 @13lunt420media @bigswc76 @theidealist_0 @anonymousbisgl1 @fragmentedsoul5 @rhondanight1 @iseveybitch @kup2staysstoned @anonseeker @activisthat_ @lodevanb @an0nresistance @anonaveli @mr_anonwolf @lbox327 @flora34921110 @th3resistance__ @owlerine @reignsatori @___truthh___ @gato_ch1ggins @ogsmockerysec @atfotraf @taresamler_ @skyd4nny @joeycicero @sami06se @ganjak3k @geisterkriege @little_anony # 1.18  #anons  good morning, sisters &amp; brothers,  reminder: $20 billon worth of airplanes stolen by #russia.  this is your target list, though if you click on the tweet, it is a thread of the targets:   --&gt;  https://t.co/jrbuq19eyp &lt;--   #oprussia   https://t.co/qulsl3fujc",18,anontby deepnetanon anondragonneb ozgorilla jack eyedurwanon emwk enocturnalghost mastertherion kareemahbm kamikazejapan orcawaves rosampl luntmedia bigswc theidealist anonymousbisgl fragmentedsoul rhondanight iseveybitch kupstaysstoned anonseeker activisthat lodevanb annresistance anonaveli mranonwolf lbox flora thresistance owlerine reignsatori truthh gatochggins ogsmockerysec atfotraf taresamler skydnny joeycicero samise ganjakk geisterkriege littleanony   anons good morning sister brother reminder  billon worth airplane stolen target list click tweet thread target gt lt oprussia,0
"#russia is strictly censoring news about the effects of #sanctions in state media. the message is that sanctions are evil, but hurt the west more than russia. this is one of the reasons why sanctions don't lead to a ""rally-round-the-flag"" effect.   https://t.co/ppjublumlp  https://t.co/3dwwgtrjlr",18,strictly censoring news effect sanction state medium message sanction evil hurt west reason sanction dont lead rallyroundtheflag,5
"-azerbaijan continues to pursue an aggressive policy towards armenia and nagorno karabakh (artsakh). they go to the #eu &amp; #us, and say look, armenia is a pro-russian country, then they go to #russia, they say, look, armenia is a pro-western country, which acts against russia.",18,azerbaijan continues pursue aggressive policy armenia nagorno karabakh artsakh eu armenia prorussian country armenia prowestern country act,8
aftermath of the #putin regime terrorists shelling in odesa region yesterday  #ukraine #russia  https://t.co/1le1g5wurh,18,aftermath putin regime terrorist shelling odesa region yesterday ukraine,9
the whole world sanctions #russia   #russiaukrainewar #azovstal #ukraine #usa #nato #eurovision  https://t.co/s0gf41rl4f,18,world sanction russiaukrainewar azovstal ukraine usa nato eurovision,3
-as per #usa department of defense officials #russia has now 105 operational battalion tactical groups (btgs) in #ukraine  -each #russian battalion tactical group consists of about 1000 troops  https://t.co/yxxapwe8pz,18,usa department defense official operational battalion tactical group btgs ukraine battalion tactical group consists troop,4
"italian air force gulfstream e550 caew (reg. mm62293, callsign perseo71) orbiting over romanian coast #nato #russia #ukraine #ukrainerussianwar  https://t.co/h5daukoc7k",18,italian air force gulfstream caew reg mm callsign perseo orbiting romanian coast nato ukraine ukrainerussianwar,7
"#breaking: just in - reports that #russia has been sending emergency evacuation calls and messages to residents from the #belgorod region, says civilians need to stay allert and prepare evacuation supplies, as russian troops withdrawn from #kharkiv, #ukraine.  https://t.co/7ssf4zie1l",18,breaking  report sending emergency evacuation call message resident belgorod region civilian stay allert prepare evacuation supply troop withdrawn kharkiv ukraine,3
"the return of the prodigal son.   after aligning with the #us , supporting #ukraine  against #russia , closing the #bosphorus strait to the crossing of #russian navy,&amp; closing #turkish airspace to russian military aircrafts heading to #syria   1/2   https://t.co/g9dfvh7apk",18,return prodigal son aligning  supporting ukraine  closing bosphorus strait crossing navyamp closing turkish airspace military aircraft heading syria ,0
billionaire mukesh ambani’s refinery makes millions from war windfall. #ukraine #russia  read more:  https://t.co/t2nrwni4rn  https://t.co/k5h5un6fo8,18,billionaire mukesh ambanis refinery million war windfall ukraine read,0
#russia's #victory day   #russiavictoryday #russiavictory #upsc #cse #whyinnews #russianmilitary #moscow #moscowredsquare #war #nazi #worldwarii #ukraine  https://t.co/dtjjqmnzq8,18,russia victory day russiavictoryday russiavictory upsc cse whyinnews russianmilitary moscow moscowredsquare war nazi worldwarii ukraine,0
sappers have already searched 100% of irpen's territory. mayor oleksandr markushyn shows russian shells found in the city near kyiv  #ukraine #poland #russia #breakingnews #breaking #war #ukrainewar #polska  https://t.co/sbtrwgly9w,18,sapper searched  irpens territory mayor oleksandr markushyn shell city kyiv ukraine poland breakingnews breaking war ukrainewar polska,7
"#russia demanded an open meeting of the #un security council to present new evidence on military biological programs carried out at the #us #biolabs in #ukraine. the meeting is scheduled for 10 am ny time tomorrow, 13 may. #russiaukraine #russiaukraineconflict",18,demanded open meeting security council evidence military biological program carried biolabs ukraine meeting scheduled ny time tomorrow russiaukraine russiaukraineconflict,6
today would be a great day to sink a ship in the black sea. #ukraine #russia #putin,18,today great day sink ship black sea ukraine putin,4
"#finland  conducts unprecedented military exercises near the borders of the #russia.  more than 3,000 finnish soldiers and a wide contingent of #nato  soldiers are being trained under the command of the #alliance.  https://t.co/frk57wcdam",18,finland conduct unprecedented military exercise border  finnish soldier wide contingent nato soldier trained command alliance,8
@samramani2 once ukraine has won this war there will be two nato's: the us-european nato with #ukraine in it &amp; the us-asean nato with #taiwan in it!   #russia will be an isolated tiny province around moscow!,18,samramani ukraine won war will nato useuropean nato ukraine usasean nato taiwan will isolated tiny province moscow,8
"anne-elisabeth @moutet's piece in the @telegraph nails it on the recent controversy on #macron's diplomacy with #russia. it's all a matter of timing. before the war, and in the very early phases of it, staying on the line *was* useful. and then it became neither useful nor decent",18,anneelisabeth moutets piece telegraph nail controversy macron diplomacy matter timing war early phase staying decent,0
two #russian journalists working for a popular pro-#kremlin website filled it with anti-war articles on monday morning in a rare act of dissent as the country celebrated the #soviet union’s victory over nazi #germany.  #россия #russia #ukraine #putin   https://t.co/w7wlkzliue,18,journalist working popular prokremlin website filled antiwar article monday morning rare dissent country celebrated soviet union victory nazi germany россия ukraine putin,0
there will be no peace in ukraine unless all russia's requirements are met #pravda #russia #ukraine  https://t.co/2wisrs6s5m  https://t.co/g4nnncauqy,18,will peace ukraine russia requirement met pravda ukraine,0
"#finnland and #sweden have decided to join #nato. nothing is likely to happen, beyond some nasty words from #russia. first, these countries are already nato members in all but name. second, russia has its hands full right now. but why isn't #austria joining? for legal reasons.",18,finnland sweden decided join nato happen nasty word country nato member second hand full isnt austria joining legal reason,8
"#russia hits #azovstal steelworks in #mariupol have resulted in injuries; we now have no contact with the field hospital, - #azov regiment  #standwithukraine #ukrainerussianwar #savemariupol  https://t.co/0rgdc5gfhq",18,hit azovstal steelworks mariupol injury contact field hospital  azov regiment standwithukraine ukrainerussianwar savemariupol,3
"for the first two years of ww2 the soviets were busy expanding their own empire (invading most of their neighbors) and supplying the germans with steel, fuel, food etc to help them expand theirs. they never fought for freedom and democracy!  #ukraine #russia  https://t.co/bdaxjoztd0",18,year ww soviet busy expanding empire invading neighbor supplying german steel fuel food help expand fought freedom democracy ukraine,0
"us assessment of #ukraine forces-""in closed briefings we talked abt this capacity to fight"" per @defenseintel ltgen berrier, defending assessments #russia could win quickly  ""but there was never an intelligence community assessment that said ukrainians lacked the will to fight""",18,assessment ukraine forcesin closed briefing talked abt capacity fight defenseintel ltgen berrier defending assessment win intelligence community assessment ukrainian lacked will fight,7
"#watch   london-based think-tank #rusi released a report claiming that indian companies are defying western sanctions, re-exporting west-made military spare parts to #russia.   top defence experts tell @prsundarji why they find the claims laughable.   https://t.co/tu0avky1df",18,watch londonbased thinktank rusi released report claiming indian company defying western sanction reexporting westmade military spare part top defence expert prsundarji find claim laughable,5
"#russia's military operation in #ukraine and the emerging energy crisis make europe force an agreement with #iran on the #jcpoa, marandi said, adding that the west is looking for calm in west asia so it can focus on ukraine and russia. @s_m_marandi   https://t.co/7dd7xzoxmt",18,russia military operation ukraine emerging energy crisis europe force agreement iran jcpoa marandi adding west calm west asia focus ukraine smmarandi,4
"@igorsushko this analysis argues convincingly that the defensive positions taken by the landed soldiers implies that #russia had lost radio contact with snake island. if so, that would then seem to not have been fixed...  https://t.co/vf3ldkzbm6",18,igorsushko analysis argues convincingly defensive position landed soldier implies lost radio contact snake island fixed,4
