tweet,likes_count,tweetFiltrado,topico
"share photos with the shared library, right when you take them with a toggle in the camera app #wwdc22",6,share photo shared library toggle camera app,2
windows!!! #wwdc22  https://t.co/wm8cxlc99b,6,window,7
i’m over here waiting for ipados like #wwdc22  https://t.co/cjkuflfzzq,6,waiting ipados,0
that tiny m2 mba two-port charger is so nice.   #wwdc #wwdc2022 #wwdc22  https://t.co/dsjyscjfkh,6,tiny m2 mba two-port charger nice #wwdc #wwdc2022,4
macsafe is back #wwdc22  https://t.co/kyswcku0pm,6,macsafe,0
"i’m so excited. i can’t wait to see all the new ios, watchos and service updates especially! #wwdc22",6,excited wait io watchos service update,0
#wwdc22 i thought they would add rcs to imessage ,6,thought add rcs imessage,0
carplay!!! #wwdc22,5,carplay,1
y’all are going to absolutely love the new app intents stuff #wwdc22,5,yall going absolutely love app intent stuff,5
"carplay, smart homes, and user privacy are getting a lot of coverage at #wwdc22—we're covering it all on our liveblog. follow along:  https://t.co/0geo10sb2s  https://t.co/jyy7ul0jye",5,carplay smart home user privacy lot coverage #wwdc22—were covering liveblog follow,1
legit though...i just want to be able to name group chats with androids. please. #wwdc22,5,legit thoughi group chat android,7
i would have owned a property in ibeju-lekki if not for apple    #wwdc22,5,owned property ibeju-lekki apple,0
craig running like it's a marvel movie  #wwdc22,5,craig running marvel movie,5
who all will be tuning into #wwdc22 today?!,5,tuning today,5
the m2 chip is looking sooo good!  #wwdc22,5,m2 chip sooo good,4
messages got edit before twitter looool #wwdc22,5,message edit twitter looool,3
editing messages and un-do send with imessage   #wwdc22,5,editing message un-do send imessage,3
unread filter and undo send features along with edit embarrassing messages coming to ios 16 this fall! this is huge headache fix for those mistakes you make on imessage! #wwdc22  https://t.co/p5b1lw0gzk,5,unread filter undo send feature edit embarrassing message coming io 16 fall huge headache mistake imessage,3
redesigned system preferences on macos? #wwdc22,5,redesigned system preference macos,7
my parents warned me about credit cards. my kids will be warned about apple pay later. #wwdc22,5,parent warned credit card kid warned apple pay,0
and finally back in person after 2 years!! #wwdc22  https://t.co/djxxtf2c6f,5,finally person 2 year,5
watching the #wwdc22  keynote is great. watching it with the @twit commentary is even better!,5,watching keynote great watching @twit commentary better,5
14 minutes to go #wwdc22  https://t.co/anijdgctrl,5,14 minute,5
"revamped carplay looks great; deeper integration, lots of customisation options + partners working with apple for this #wwdc22  https://t.co/c6ljjhs0xv",5,revamped carplay great deeper integration lot customisation option  partner working apple,1
one of the cool things about apple watch and sleep tracking is that people who are not sleep researchers are learning more about sleep and that's awesome. #wwdc22 #wwdc,5,cool thing apple watch sleep tracking people sleep researcher learning sleep awesome #wwdc,9
"don't like mac cameras? sure, buy an iphone! #wwdc22",5,mac camera buy iphone,0
"#wwdc22  well, been working on this new app for over 7mo now, so hopefully the new stuff released tonight won't make my app seem less useful after tonight (i know i'm being a little bit selfish)…",5,working app 7mo hopefully stuff released tonight app tonight bit selfish,5
freeform would be a great app for education! #wwdc22  #ade2022 ##appleeduchat,5,freeform great app education #ade2022 ##appleeduchat,7
everyone obsessing over the new lock screen features on #ios16 when jailbreakers have had these for years #wwdc22,5,obsessing lock screen feature #ios16 jailbreakers year,3
the new dictation features will be great for students #wwdc22,5,dictation feature great student,0
@sondesix all set #wwdc22  https://t.co/ja0cffdyf5,5,@sondesix set,0
"sleep feature for apple watch is adding sleep stages. this will tell users their light sleep (core), deep sleep, rem, and awake time #wwdc22  https://t.co/ci9mpu5jok  https://t.co/vzkloz1zaq",5,sleep feature apple watch adding sleep stage user light sleep core deep sleep rem awake time,9
#wwdc22  i love the idea of message editing as i always mistype things but first thing that hit me is people in toxic environments being gaslit. i hope the editing gets saved in history somehow as this could potentially be really dangerous,5,love idea message editing mistype thing thing hit people toxic environment gaslit hope editing saved history dangerous,2
updates to spotlight. #wwdc22  https://t.co/x09c9em3aa,5,update spotlight,7
watchos 9 beta :  https://t.co/ldhbvtkd7l #wwdc22,5,watchos 9 beta ,9
full screen view for music on the lock screen! #wwdc22  https://t.co/8yelnzkbbj,5,full screen view music lock screen,3
"still no rcs in messages, which i’m sure will shock all the product managers at a certain other company. #wwdc22",5,rcs message shock product manager company,3
breaking: apple just revealed its new m2 chip at #wwdc22. promising 18% faster performance for macs. the macbook air will be the first laptop to get the second generation chip. the new macbook has been completely redesigned around the m2.,5,breaking apple revealed m2 chip promising 18 faster performance mac macbook air laptop second generation chip macbook completely redesigned m2,4
custom toolbars!  awesome!  #wwdc22,5,custom toolbars awesome,9
sleep app getting a slight boost for apple watch in watchos 9 #wwdc22  https://t.co/wr9hid2s0r,5,sleep app slight boost apple watch watchos 9,9
"#wwdc22 m2 chip, ios 16, watchos 9… keeping my expectations low and hopefully they’ll be blown away!",5,m2 chip io 16 watchos 9 keeping expectation low hopefully blown,3
sneak peek into new coming app  freeform is gonna kill google sheets/jamboards.  #wwdc22,5,sneak peek coming app freeform gonna kill google sheetsjamboards,1
"continuity camera - use your iphone as a webcam, with centre stage and portrait mode.  this is going to kill so many great 3rd party apps...  #wwdc22  https://t.co/foebikczwj",5,continuity camera iphone webcam centre stage portrait mode going kill great 3rd party apps,7
"mail getting some good updates, like undo send, scheduled send, remind me (snooze like feature), and search improvements #wwdc22  https://t.co/aiklb9fmxq",5,mail good update undo send scheduled send remind snooze feature search improvement,7
"sleep stages is really nice. there have been apps for things like this. i think fitbit has it as well. there's merit to being woken up based on your sleep stage/cycle, but i didn't see them talk about anything regarding that.  #wwdc22  https://t.co/alo9o3k4hd",5,sleep stage nice apps thing fitbit merit woken based sleep stagecycle talk,9
"#wwdc22   i do actually use dictation a lot, especially if i dont know how to spell a world in english lmao  https://t.co/cvvs2p0far",5,dictation lot spell world english lmao,0
next gen apple silicon is m2 #wwdc22  https://t.co/1adg4jjclz,5,gen apple silicon m2,4
#wwdc22 keynote day shirt   https://t.co/tvwwntbigc,5,keynote day shirt,5
apple slayed for using tate mcrae to show off the new lock screen #wwdc22  https://t.co/e048jjjb1t,5,apple slayed tate mcrae lock screen,3
i can’t wait to make discovery trees in the new freeform app @qcoding  #wwdc22,5,wait discovery tree freeform app @qcoding,7
t-minus 5 minutes! here is how to watch the #wwdc22 event live!  https://t.co/sgqtl39r2a,5,t-minus 5 minute watch event live,5
our #wwdc22 setup! let's go  https://t.co/f56mcnjkqa,5,setup,0
"our founder and ceo of assistiveware, @niemeijerd, is attending #wwdc22. excited to see apple’s latest technology! #wwdc  https://t.co/ycqxruhfjq",5,founder ceo assistiveware @niemeijerd attending excited apple latest technology #wwdc,0
are you ready for #wwdc22   it's a beautiful day !!!  https://t.co/glcw2fmcnm,5,ready beautiful day ,5
"hello, good morning! what a great day to announce new things  #apple #appleevent #wwdc22  https://t.co/7u37f6qp06",5,hello good morning great day thing #apple #appleevent,5
"a “password-less future” isn’t a new idea, but apple is well positioned to use passkeys to deliver biometric sign-in using touch id &amp; face id. more importantly for consumers, this approach has wider support via @fidoalliance which includes @google, @microsoft and others. #wwdc22  https://t.co/nq5b6exa7n",5,password-less future idea apple positioned passkey deliver biometric sign-in touch face importantly consumer approach wider support @fidoalliance includes @google @microsoft,0
can apple please announce virtual reality?   #wwdc22,5,apple virtual reality,0
mark as unread #wwdc22,5,mark unread,3
"new app called freeform:  - brainstorming, mindmapping etc - see live cursors of other users - infinite space, just move around - add photos, videos, audio, documents, pdfs, web links - ""pretty much everything"" in high resolution - coming later this year   #wwdc22  https://t.co/zuwpvevwks",5,app called freeform brainstorming mindmapping live cursor user infinite space move add photo video audio document pdfs web link pretty high resolution coming year,6
desk view.   we think magicians are going to love it. #wwdc22 #apple #wwdc  https://t.co/eu7l19jw9a,5,desk view magician going love #apple #wwdc,7
apple expanding its wireless key program for car manufacturers and work sites. you'll soon be able to share a digital key with others. #wwdc22,5,apple expanding wireless key program car manufacturer work site share digital key,0
bye apple mail is just now adding scheduled send on emails #wwdc22   https://t.co/b0egmp0amb,5,bye apple mail adding scheduled send email,0
notifications now roll in at the bottom of the screen. pretty sweet! #wwdc22  https://t.co/xyvs5awtm6,5,notification roll bottom screen pretty sweet,3
i need a full length movie featuring craig federighi. #wwdc22  https://t.co/mykygzc2dl,5,full length movie featuring craig federighi,5
"car play, i did not see bmw on the list of manufacturers they are currently working with to launch these updates though.  looks nice   #wwdc22  https://t.co/zqhdockjho",5,car play bmw list manufacturer currently working launch update nice,1
this! where you can actually reach them! can't believe it took this long. #wwdc22,5,reach long,0
i usually get donuts for wwdc but i’m leaning lox bagel this morning.  the “why not both?” meme is playing in my head.  #wwdc22,5,donut leaning lox bagel morning meme playing head,5
bad bunny cameo #wwdc22  https://t.co/kkmim3casf,5,bad bunny cameo,0
augmented reality folks looking at the clock for the #wwdc22 keynote.  https://t.co/hxebnrko3o,5,augmented reality folk clock keynote,3
mypov: @apple gaming will be huge. developers here are very excited about the opportunity. #wwdc22  https://t.co/qpw5vj4oml,5,mypov @apple gaming huge developer excited opportunity,5
"after this #wwdc22, it feels like apple is finally catching up to where @microsoft is for web developers. i love it.",5,feel apple finally catching @microsoft web developer love,0
blurred wallpaper on ios 16 #wwdc22  https://t.co/wio0mftjsb,5,blurred wallpaper io 16,3
we should normalize teaching nicki minaj in schools. #nickiminaj #wwdc22,5,normalize teaching nicki minaj school #nickiminaj,0
rating apple #wwdc22 and it's features in one thread:)  https://t.co/na8sjqrtua,5,rating apple feature thread,0
is apple confirming that the mac cameras sucks with this? #wwdc22,5,apple confirming mac camera suck,0
and the beta sprint begins…  #wwdc22  https://t.co/bvdax2krwo,5,beta sprint,8
gun control for schools #wwdc22  https://t.co/rgyjwk5pek,5,gun control school,1
#wwdc22  apple   ios users waiting for always on feature  https://t.co/9uytckrrcu,5,apple io user waiting feature,0
"no doubt apple takes time to introduce new features, but when they do, you feel that it was worth the wait!  the new redesigned lockscreen is so good in ios 16! agree??? #ios16 #wwdc22",5,doubt apple take time introduce feature feel worth wait redesigned lockscreen good io 16 agree #ios16,3
"whoa, carplay got a glow up #wwdc22",5,whoa carplay glow,1
"oh, jeeze. apple is going into the ""buy now, pay later"" sphere. rip to $afrm.   #wwdc22  https://t.co/fhtunvvi43",5,jeeze apple going buy pay sphere rip afrm,0
"watchos 9 - improved fitness &amp; activity tracking, medications app and more.  #wwdc22  https://t.co/2xqyaba3ww",5,watchos 9 improved fitness activity tracking medication app,9
freeform..finally ! #wwdc22,5,freeformfinally ,0
that would be an awesome coincidence if i cross the 1k followers the day of #wwdc22 ,5,awesome coincidence cross 1k follower day,5
"ready, set, apple hoodie on. #wwdc22",5,ready set apple hoodie,0
the lannisters^w watchos team sends their regards #wwdc22,5,lannistersw watchos team sends,5
"why would you imagine having anyone, when you can just watch #wwdc22 just by yourself? ",5,imagine watch,9
wow! resident evil village is coming to macos. #wwdc22,5,wow resident evil village coming macos,7
watch os 9 they adding 4 new faces #wwdc22 #appleevent #applewatch,5,watch o 9 adding 4 face #appleevent #applewatch,9
"as someone with many, many random smartphone accessories, matter is going to make my life a lot easier. #wwdc22",5,random smartphone accessory matter going life lot easier,0
"apple improving its health features by focusing on medications; with features like medication reminders, medication lists and a drug interaction checker. promoted through the apple watch segment, but mentioned that an apple watch is not required.  #wwdc22  https://t.co/mcxpb8woie",5,apple improving health feature focusing medication feature medication reminder medication list drug interaction checker promoted apple watch segment mentioned apple watch required,9
hello #wwdc22  https://t.co/ligllru8m5,5,hello,0
"nice solution for too fast dying apple watch battery - fitness app on iphone. ok, i will take it #wwdc22",5,nice solution fast dying apple watch battery fitness app iphone,9
imessage edit/unsend message ได้แล้วจ้าาาา #wwdc22,5,imessage editunsend message ได้แล้วจ้าาาา,3
i might just port to using macbook at this point #wwdc22,5,port macbook point,6
apple m2 silicon released ...   #apple #wwdc22  https://t.co/xwjiahlmg6,5,apple m2 silicon released  #apple,0
as a runner - i'm absolutely hyped up about the new apple watch running features  #wwdc22,5,runner absolutely hyped apple watch running feature,9
apple pay later lets you use apple pay to purchase things and pay them over 4 interest free payment installments. holy shit. fuck yes! #wwdc22,5,apple pay apple pay purchase thing pay 4 interest free payment installment holy shit fuck,0
live text en videos #wwdc22,5,live text en video,3
ipados 16 gets a collaboration feature for sharing files quickly. also finally it now has a weather app  #ipados16 #wwdc22  https://t.co/gw1wctg8iw,5,ipados 16 collaboration feature sharing file finally weather app #ipados16,2
omg a fat man on stage. this is actually very cool. #wwdc22,5,omg fat man stage cool,7
"first photobooth, now freeform! apple has liked two of my app names so much they’ve taken them for themselves (my freeform app has sadly not been for a sale for a long while now )  https://t.co/2qfrtfbnz6 #wwdc22",5,photobooth freeform apple app name freeform app sadly sale long ,7
what an update though!   #wwdc22  https://t.co/ir6jiskt8d,5,update,0
breakfast at #wwdc22   https://t.co/tm9usiqvfs,5,breakfast,0
interesting #wwdc22  https://t.co/bdlpk0mxbw,5,interesting,0
"#wwdc22 you can now edit imsg stuff, but not on twitter  https://t.co/dq6kfnrpsj",5,edit imsg stuff twitter,3
copy text from videos? awesome!!!  #wwdc22,5,copy text video awesome,0
what about different aspect ratios when connecting an ipad to an external monitor?  what about multi user support?  what about final cut pro/logic pro/xcode for an ipad?  #wwdc22,5,aspect ratio connecting ipad external monitor multi user support final cut prologic proxcode ipad,7
freeform looks amazing! can’t wait to use it! #wwdc22  https://t.co/cavq5y96db,5,freeform amazing wait,7
carplay is getting a big glow up across multiple screens in the car. #ios16 #wwdc22  https://t.co/c3coxk6bhw,5,carplay big glow multiple screen car #ios16,1
loving these new lock screen updates! the @bigcommerce mobile team is already brainstorming ideas for new widgets  #wwdc22,5,loving lock screen update @bigcommerce mobile team brainstorming idea widget,3
"ios 16 will feature new customization to the lock-screen. iphone users will be able to add widgets, change clock style and customize based on focus mode. #wwdc22  https://t.co/6qfayetlnk",5,io 16 feature customization lock-screen iphone user add widget change clock style customize based focus mode,3
can’t wait to see more of freeform!  #wwdc22,5,wait freeform,7
apple reveals a new medications app that can remind you when to take specific medications.   all of the health data is also encrypted to protect your vital info. #wwdc22  https://t.co/vz4bhknonl,5,apple reveals medication app remind specific medication health data encrypted protect vital info,9
"apple doubled down today at #wwdc22 on their commitment to helping rid the world of passwords by using your devices as your primary authentication factor in partnership with microsoft and google. they left us out of the announcement, but we're not mad   https://t.co/oz2tgxaigr",5,apple doubled today commitment helping rid world password device primary authentication factor partnership microsoft google left announcement mad,5
mypov: great new family sharing updates including checklist @apple #wwdc22  https://t.co/ugmtdjojgf,5,mypov great family sharing update including checklist @apple,2
i need this outfit so badly #wwdc22  https://t.co/rv9b6pcsvk,5,outfit badly,0
mypov: can’t beat cupertino @apple park #wwdc22  https://t.co/qyf5e49zuh,5,mypov beat cupertino @apple park,5
apple car confirmed? #wwdc22,5,apple car confirmed,0
"apple's dictation feature is used 18 billion times a month &amp; done entirely on device (for privacy). you'll be able to switch between voice and touch much easier. if you hit the mic, the keyboard stays available so you can type while talking. punctuation auto added. #wwdc22",5,apple dictation feature 18 billion time month entirely device privacy switch voice touch easier hit mic keyboard stay type talking punctuation auto,4
live text is coming to video. you can pause a video on any phrame and interact with text just as in  photos. ^mh #wwdc22,5,live text coming video pause video phrame interact text photo mh,2
appears the mail updates are coming to ipados and ios as well. ^mh #wwdc22,5,appears mail update coming ipados io mh,3
apple will soon allow you to edit and delete texts you've sent on the messages app.   - #wwdc22,5,apple allow edit delete text message app,0
i’m all ready  #wwdc22  https://t.co/i7vzbls4af,5,ready,5
"while not explicitly for ar, some interesting details from #wwdc22 that could be important for ar content/devs:  -live text api — think gestural interactions with overlay text -mapkit improvements — 3d map data for more cities  -m2 needed for ar glasses — more battery life!   https://t.co/3gu38w0nsr",5,explicitly ar interesting detail ar contentdevs -live text api — gestural interaction overlay text -mapkit improvement — 3d map data city -m2 needed ar glass — battery life,2
you can now discover apps available for shareplay right from the facetime app. #wwdc22  https://t.co/j6hfviuik2,5,discover apps shareplay facetime app,7
this @apple event is like a long church service #wwdc22 #wrapitup,5,@apple event long church service #wrapitup,0
wow got me excited for a second there #wwdc22,5,wow excited second,5
*sigh* the truth is that i'm *already* in spotlight on the mac probably 60% of the time. #wwdc22,5,sigh truth spotlight mac 60 time,7
"mypov: messages can be marked unread, edited, and undo send! whew. maybe @twitter can learn from this. @apple #wwdc22  https://t.co/acck0kc7yj",5,mypov message marked unread edited undo send whew @twitter learn @apple,3
no home screen changes. no control center changes. just some apps and the lock screen. i love the lock screen updates. but mostly a let down. #ios16 #wwdc22,5,screen change control center change apps lock screen love lock screen update #ios16,3
m2 chip is here. please please please show us the new macbook air #wwdc22,5,m2 chip macbook air,8
i still have never used shareplay with any app  #wwdc22,5,shareplay app,9
no one does it like apple #wwdc22,5,apple,0
"by introducing advanced sleep tracking and medications tracking, apple is essentially killing off many third party apps #wwdc22",5,introducing advanced sleep tracking medication tracking apple essentially killing third party apps,0
watching ##wwdc22 in the @twitteruk office!  #oneteam  https://t.co/mlqaxpjcub,5,watching ##wwdc22 @twitteruk office #oneteam,5
undo and edit messages on imessages #ios16 #wwdc22 #wwdc2022 #appleevent  https://t.co/s4lt0lre6g,5,undo edit message imessages #ios16 #wwdc2022 #appleevent,3
stage manager on m1 ipads #wwdc22  https://t.co/jyg8h5itdw,5,stage manager m1 ipads,7
fuck i’m old. apple just announced a medication tracker feature and i got way too excited. #wwdc22,5,fuck apple announced medication tracker feature excited,0
saving our life since 2022 #wwdc22,5,saving life 2022,8
ready for #wwdc22  https://t.co/hjpmvkv612,5,ready,5
my god please stop talking about gaming #wwdc22  https://t.co/trev0op5i0,5,god talking gaming,0
"new notification setup and use cases. i like ""live activities""  #wwdc22  https://t.co/wvsn3izqi7",5,notification setup case live activity,3
new macos is called ventura #wwdc22  https://t.co/g84elhncy5,5,macos called ventura,7
the new lockscreen  - animated wallpapers - widgets  - customizable photo styles  - live activities  - multiple lockscreen - millions of options - photo shuffle - different clock font - live weather  #ios16 #wwdc22  https://t.co/cx9xo1ibbp,5,lockscreen animated wallpaper widget customizable photo style live activity multiple lockscreen million option photo shuffle clock font live weather #ios16,3
mail now lets you undo send to pull back an email. can now schedule emails and receive follow up suggestions if you haven’t received a response. can get reminders to come back to a message at a later date. search is also being updated #wwdc22  https://t.co/ci9mpu5jok  https://t.co/jqyt28hp6c,5,mail undo send pull email schedule email receive follow suggestion received response reminder message search updated,3
apple announced next generation of car play in ios 16. #apple #wwdc22 #wwdc2022 #technews #technical  https://t.co/mwvffcvt9k,5,apple announced generation car play io 16 #apple #wwdc2022 #technews #technical,1
no promises but probably won't be live tweeting this year. wanna enjoy #wwdc22 to the fullest!,5,promise live tweeting year wanna enjoy fullest,3
apple's new ipad os collab features even more highlights the importance of real-time collaboration (and infinite canvas')  i wrote about the value of this to aec and @arcoltech's approach on it here -&gt;  https://t.co/ftd1h7l78z  #wwdc22,5,apple ipad o collab feature highlight real-time collaboration infinite canvas wrote aec @arcoltechs approach -gt,7
virtual memory on ipados. as if anyone has ever run out of memory on an ipad...#wwdc22  https://t.co/amdk292zi1,5,virtual memory ipados memory ipad#wwdc22,4
shareplay easier to access in ios 16 messages #wwdc22  https://t.co/adaz7rhr0b,5,shareplay easier access io 16 message,3
android team right now watching #wwdc22 announce features they've built years ago  https://t.co/x2aj8m2fjh,5,android team watching feature built year ago,5
"""i'm sorry, officer, my kids set the speedometer to roman numerals- "" ""ok, do realize you were going lxxvi in a lxv zone then?"" #wwdc22  https://t.co/c1hoz2u5ri",5,officer kid set speedometer roman numerals-  realize going lxxvi lxv zone,9
hey @apple lock screen is cool… but have you ever included full recording credits for even a single song on your music app?  #wwdc22,5,hey @apple lock screen cool included full recording credit single song music app,3
"looks like @apple loves hounds as much as we do! #wwdc22   with ios 16, users will be able to share their pets with friends directly in imessage with a quick drag and drop!  this might come in handy for things to come @astrohounds   #movetoearn #healthfi #petaverse  https://t.co/81ndqexlum",5,@apple love hound io 16 user share pet friend directly imessage quick drag drop handy thing @astrohounds #movetoearn #healthfi #petaverse,3
apple pay later is gonna be dangerous af  #wwdc22 #apple,5,apple pay gonna dangerous af #apple,0
some smart changes to the lock screen experience on show at #wwdc22. very much in favour of the live activities api. an absolute flood of notifications like score updates is a real bugbear - having something to intelligently clean that up sounds good to me.  https://t.co/j5wivy0gbd,5,smart change lock screen experience favour live activity api absolute flood notification score update real bugbear intelligently clean sound good,3
finally apple has announced support for web push notifications support for safari #wwdc22   why did it take this long? we still need to end the webkit monopoly on ios!,5,finally apple announced support web push notification support safari long webkit monopoly io,3
let’s go! #ios16 #wwdc22  https://t.co/hcuhrupsvx,5,#ios16,0
"omg, new ios getting announced, new macbook too? #wwdc22",5,omg io announced macbook,3
alright mac news coming up!  #wwdc22,5,alright mac news coming,0
you can now have special lock screens based on the focus you’re in. #wwdc22  https://t.co/tc8pyyzk0q,5,special lock screen based focus,3
can't wait to build that widget under duress from developer relations and then kill it in four years from now because no one uses it #wwdc22,5,wait build widget duress developer relation kill year,5
come find the shareplay team at wwdc!!  #wwdc22 #shareplay #wwdc  https://t.co/rhzrkwhmtn,5,find shareplay team #shareplay #wwdc,5
multiple lock screens with multiple focus #wwdc22  https://t.co/plce9yebiu,5,multiple lock screen multiple focus,3
watchos 9 #wwdc22  https://t.co/nr24rr3q5j,5,watchos 9,9
#apple #wwdc22: everything that was announced   https://t.co/vk7dulwhb3,5,#apple announced,0
"imagine accidentally taking a nude and it ending up in your families shared icloud library… fuck thaaaaaat!!!   nah, i’m good   #wwdc22",5,imagine accidentally nude family shared icloud library fuck thaaaaaat nah good,2
ios 16 is here!  #wwdc22 #ios16 #appleevent #apple  https://t.co/5fbkudfa4a,5,io 16 #ios16 #appleevent #apple,3
1 hour till #wwdc22!!!!,5,1 hour till,6
quite a few decent updates coming out at #wwdc22,5,decent update coming,0
new features of imessage: 1) mark any thread as unread 2) edit messages 3) unsend messages #wwdc22  https://t.co/6pp8nrltvm,5,feature imessage 1 mark thread unread 2 edit message 3 unsend message,3
new features in watchos 9 in a single pic #wwdc22  https://t.co/xuwzczydwu,5,feature watchos 9 single pic,9
apple is making it easier to live on the internet  #wwdc22,5,apple making easier live internet,0
sleep and heart health advances look good. now medications tracking - with watch face complications reminders. adding medications is easy (can even scan with camera). there’s even critical interaction warnings.  all this is so cool and important.  #wwdc22,5,sleep heart health advance good medication tracking watch face complication reminder adding medication easy scan camera critical interaction warning cool,9
rip to the iphone 7 (2016-2022) #wwdc22 #appleevent  https://t.co/cvgouoyorb,5,rip iphone 7 2016-2022 #appleevent,0
#wwdc22   compacted notifications so they dont cover the main wallpaper!  https://t.co/pjqqaqvrv1,5,compacted notification cover main wallpaper,3
ted lasso’s afc richmond #wwdc22  https://t.co/wzkymcvkwx,5,ted lasso afc richmond,0
same product ki chinna changes chesi paisal dengey process started #wwdc22,5,product ki chinna change chesi paisal dengey process started,3
what was your favorite craig moment? #wwdc22,5,favorite craig moment,5
wait did imessage figure out editing before twitter?  #wwdc22,5,wait imessage figure editing twitter,0
is this apple’s way of taking the first step towards a borderless display future?  #wwdc22  https://t.co/kbycqxiiqk,5,apple step borderless display future,0
did 1sland's icon just appear on the upper left corner? it seems so #wwdc22  https://t.co/3fg2slpejy,5,1slands icon appear upper left corner,0
soon - apple wondering what the hell gelusil is and why so many of us here are drinking gallons of it. #watchos9 #wwdc22,5,apple wondering hell gelusil drinking gallon #watchos9,0
"ios 16 messages supports edit, unsend &amp; mark as unread.   surprised ?   #ios16 #wwdc22",5,io 16 message support edit unsend mark unread surprised  #ios16,3
star of the show - ipados 16.  #wwdc22,5,star ipados 16,3
"ipados was not mentioned yet... either they forgot about it, or we are going to see a big change this year! #wwdc22",5,ipados mentioned forgot going big change year,3
"oh, welcome to the lock screen team at apple. like the watch faces team, your goal is to produce the next thousands of styles for the years to come. that's challenging #wwdc22",5,lock screen team apple watch face team goal produce thousand style year challenging,3
"imessage finally getting the edit, unsend and unread features! #wwdc22",5,imessage finally edit unsend unread feature,3
"enjoy the wwdc22 live stream y’all. i’m gonna be off for now as i’m watching the event, i’ll be back later! #wwdc22",5,enjoy wwdc22 live stream yall gonna watching event,5
you can use the new iphone as a webcam on your mac.  thats pretty neat!  #wwdc22  https://t.co/qcu5ygsbnz,5,iphone webcam mac pretty neat,1
the quality #wwdc22  https://t.co/edhfrptsrj,5,quality,0
apple is determined to ensure imessage remains competitive with whatsapp and other messaging apps. the addition of “edit” and “undo send” underline this and will be welcome additions. #wwdc22  https://t.co/glic0pktya,5,apple determined ensure imessage remains competitive whatsapp messaging apps addition edit undo send underline addition,3
macos 13 ventura announced at #wwdc22: here's what's new   https://t.co/eq71xdoxgl  https://t.co/5yfcdxy3ky,5,macos 13 ventura announced,7
"#wwdc22 in 30!  ios 16, ipados 16, watchos 9, macos 13, and tvos 16 will be announced today. possibly new hardware?",5,30 io 16 ipados 16 watchos 9 macos 13 tvos 16 announced today hardware,3
"imessage gets editing before twitter  also gets undo send, and mark and thread as unread. nice #wwdc22  https://t.co/e4ocprch2h",5,imessage editing twitter undo send mark thread unread nice,3
i was disappointed by last years lack of carlay updates  but this looks amazing  #wwdc22,5,disappointed year lack carlay update amazing,5
the new carplay  #wwdc22 #carplay #apple  https://t.co/thfaqdmjuj,5,carplay #carplay #apple,1
m2 time #wwdc22  https://t.co/2xf3qoorya,5,m2 time,4
this is just gonna be a software event right #wwdc22,5,gonna software event,5
"crap, my shirt is already out of date #wwdc22",5,crap shirt,0
"this guy’s floral shirt drip is unparalleled. more fun shirts, please #wwdc22",5,guy floral shirt drip unparalleled fun shirt,5
studio light now on facetime on mac #wwdc22,5,studio light facetime mac,7
stage manager looks like a useful feature on that ipad -- maybe even more so than on a mac. #wwdc22,5,stage manager feature ipad mac,7
"there are four new watch faces. remastered astronomy face that shows current cloud cover. lunar watch face supports chinese, hebrew, and islamic calendars. playful is a watch face with dancing numbers, and more. siri is also more accessible #wwdc22  https://t.co/ci9mpu5jok  https://t.co/nabdjxotlw",5,watch face remastered astronomy face current cloud cover lunar watch face support chinese hebrew islamic calendar playful watch face dancing number siri accessible,9
this feature is sooo cool. wonder how accurate the cutouts will be. #wwdc22  https://t.co/cvwhi7bk3n,5,feature sooo cool wonder accurate cutout,0
stage manager on ipad #wwdc22,5,stage manager ipad,7
dictation! this is good. i love having the keyboard here too. #wwdc22,5,dictation good love keyboard,5
"#wwdc22 at apple park! it’s great to see developers being welcomed to the campus, and the developer center is intuitive and well designed.  https://t.co/pbcmpp87ge",5,apple park great developer welcomed campus developer center intuitive designed,5
apple pay later!! i’m gonna be so broke!! #wwdc22,5,apple pay gonna broke,0
unsend is now on imessage #wwdc22  https://t.co/1cjyj5r5mu,5,unsend imessage,0
"apple news is the nr 1 news app!  (where it's available, so just the iphone). #wwdc22",5,apple news nr 1 news app iphone,0
"it's pride month, so i'm allowed to tweet this without being judged: apple has some dads working at their company. #wwdc22",5,pride month allowed tweet judged apple dad working company,0
a ver dale like #wwdc22,5,ver dale,0
the #wwdc22 music feels so good.,5,music feel good,5
are we going to see a new mac pro in the next hour or so? #wwdc22,5,going mac pro hour,6
"what a shot, craig! #wwdc22 #wwdc2022  https://t.co/mt9huv7atz",5,shot craig #wwdc2022,5
messages got an edit button before twitter. lol. #wwdc22,5,message edit button twitter lol,3
"""we're replacing passwords for good. we call them... passkeys."" — sounds like a quote straight from @siliconhbo  #wwdc22",5,replacing password good call passkey — sound quote straight @siliconhbo,5
“later this year”  so it begins… live activities beta march 2023  #wwdc22,5,year live activity beta march 2023,3
"18% improvement seems to be the common trend across the industry right now. nice, but not mind blowing.  #wwdc22  https://t.co/uz72a9brwy",5,18 improvement common trend industry nice mind blowing,1
it's time for #watchos9 #ios #apple #wwdc22  https://t.co/peuotozwwf,5,time #watchos9 #ios #apple,9
i’m ready for #wwdc22  https://t.co/nzj3ci1vvx,5,ready,5
"personally, i love to celebrate my album art #wwdc22",5,personally love celebrate album art,0
